team_name,team_total_prize,number_of_tournaments,game,game_genre
San Francisco Shock,3105000,7,Overwatch,First-Person Shooter
London Spitfire,1591136.5,13,Overwatch,First-Person Shooter
New York Excelsior,1572618.5,18,Overwatch,First-Person Shooter
Philadelphia Fusion,1186278.5,15,Overwatch,First-Person Shooter
Seoul Dynasty,1130000,6,Overwatch,First-Person Shooter
Vancouver Titans,950000,4,Overwatch,First-Person Shooter
Shanghai Dragons,755000,5,Overwatch,First-Person Shooter
Los Angeles Gladiators,709605.19,13,Overwatch,First-Person Shooter
Atlanta Reign,596098,9,Overwatch,First-Person Shooter
Los Angeles Valiant,535000,6,Overwatch,First-Person Shooter
Team Envy,504391.4,32,Overwatch,First-Person Shooter
Hangzhou Spark,425000,3,Overwatch,First-Person Shooter
RunAway,420808.84,19,Overwatch,First-Person Shooter
Lunatic-hai,320633.66,10,Overwatch,First-Person Shooter
Boston Uprising,288606,7,Overwatch,First-Person Shooter
GC Busan,262117.51,10,Overwatch,First-Person Shooter
Washington Justice,250000,1,Overwatch,First-Person Shooter
Rogue,233623.47,22,Overwatch,First-Person Shooter
Team Gigantti,224542.69,13,Overwatch,First-Person Shooter
Florida Mayhem,212672.5,8,Overwatch,First-Person Shooter
Misfits,172484.12,16,Overwatch,First-Person Shooter
LGD Gaming,165687.71,14,Overwatch,First-Person Shooter
Osh-Tekk Warriors,161534,2,Overwatch,First-Person Shooter
Talon Esports,159952,7,Overwatch,First-Person Shooter
Flash Wolves,157081.66,3,Overwatch,First-Person Shooter
Miraculous Youngster,148594.21,7,Overwatch,First-Person Shooter
Team Kongdoo,145971.95,15,Overwatch,First-Person Shooter
Cloud9,133251.4,36,Overwatch,First-Person Shooter
Blank Esports,132105.66,7,Overwatch,First-Person Shooter
Houston Outlaws,126172,4,Overwatch,First-Person Shooter
NRG Esports,117266.62,10,Overwatch,First-Person Shooter
Hong Kong Attitude,116404,6,Overwatch,First-Person Shooter
Afreeca Freecs,105281.62,13,Overwatch,First-Person Shooter
LuxuryWatch,98604.83,13,Overwatch,First-Person Shooter
Immortals,98067.52,11,Overwatch,First-Person Shooter
Vici Gaming,98025.65,11,Overwatch,First-Person Shooter
Paris Eternal,91600,3,Overwatch,First-Person Shooter
Gen.G,90982,6,Overwatch,First-Person Shooter
Guangzhou Charge,86250,3,Overwatch,First-Person Shooter
ahq e-Sports Club,85500.04,7,Overwatch,First-Person Shooter
Team Skadis Gift,80797.99,10,Overwatch,First-Person Shooter
Dallas Fuel,80000,3,Overwatch,First-Person Shooter
American National Team,77000,6,Overwatch,First-Person Shooter
Chinese National Team,77000,6,Overwatch,First-Person Shooter
French National Team,77000,6,Overwatch,First-Person Shooter
Korean National Team,77000,6,Overwatch,First-Person Shooter
Canadian National Team,74500,6,Overwatch,First-Person Shooter
Bilibili Gaming,73521.2,5,Overwatch,First-Person Shooter
FaZe Clan,73300,13,Overwatch,First-Person Shooter
MVP,72944.42,15,Overwatch,First-Person Shooter
Australian National Team,72000,6,Overwatch,First-Person Shooter
Invictus Gaming,64745.2,11,Overwatch,First-Person Shooter
ORDER,64500,3,Overwatch,First-Person Shooter
Fnatic,63939.34,10,Overwatch,First-Person Shooter
Finnish National Team,63000,5,Overwatch,First-Person Shooter
Swedish National Team,58500,5,Overwatch,First-Person Shooter
British National Team,56500,5,Overwatch,First-Person Shooter
Toronto Defiant,54400,3,Overwatch,First-Person Shooter
Star Horn Royal Club,52328.1,3,Overwatch,First-Person Shooter
Nova eSports,50278,4,Overwatch,First-Person Shooter
Russian National Team,49500,4,Overwatch,First-Person Shooter
Lowkey Esports,47500,2,Overwatch,First-Person Shooter
German National Team,47000,4,Overwatch,First-Person Shooter
Spanish National Team,47000,4,Overwatch,First-Person Shooter
Taiwanese National Team,47000,4,Overwatch,First-Person Shooter
eUnited,45750,4,Overwatch,First-Person Shooter
NGA Club,45335.36,7,Overwatch,First-Person Shooter
REUNITED,44988.63,29,Overwatch,First-Person Shooter
Samsung,43472.95,5,Overwatch,First-Person Shooter
Luminosity Gaming,43213.18,16,Overwatch,First-Person Shooter
Brazilian National Team,42000,3,Overwatch,First-Person Shooter
Thai National Team,42000,3,Overwatch,First-Person Shooter
Team Liquid,36216,10,Overwatch,First-Person Shooter
DeToNator,35650,3,Overwatch,First-Person Shooter
Team Singularity,35491.54,19,Overwatch,First-Person Shooter
Ninjas in Pyjamas,35235.95,5,Overwatch,First-Person Shooter
compLexity Gaming,34000,8,Overwatch,First-Person Shooter
Danish National Team,34000,3,Overwatch,First-Person Shooter
Dutch National Team,34000,3,Overwatch,First-Person Shooter
Mindfreak,32400,2,Overwatch,First-Person Shooter
Winstrike Team,32064,2,Overwatch,First-Person Shooter
Singaporian National Team,32000,3,Overwatch,First-Person Shooter
Austrian National Team,29000,3,Overwatch,First-Person Shooter
Italian National Team,29000,3,Overwatch,First-Person Shooter
Japanese National Team,29000,3,Overwatch,First-Person Shooter
Norweigan National Team,29000,3,Overwatch,First-Person Shooter
Third Impact,28450,2,Overwatch,First-Person Shooter
World Elite,28231.78,4,Overwatch,First-Person Shooter
Snake Esports,27410.98,9,Overwatch,First-Person Shooter
Isurus Gaming,27295.01,6,Overwatch,First-Person Shooter
GamersOrigin,26900.75,18,Overwatch,First-Person Shooter
Copenhagen Flames,25599.5,4,Overwatch,First-Person Shooter
Team Celestial,25187.04,5,Overwatch,First-Person Shooter
Polish National Team,24000,2,Overwatch,First-Person Shooter
Newbee,21590.82,8,Overwatch,First-Person Shooter
OMG,20768.17,4,Overwatch,First-Person Shooter
Legacy eSports,20612,5,Overwatch,First-Person Shooter
Triumph,20200,1,Overwatch,First-Person Shooter
Ghost Gaming,20000,1,Overwatch,First-Person Shooter
Hong Kong National Team,20000,2,Overwatch,First-Person Shooter
Jin Air Green Wings,2546572.7,379,Starcraft II,Strategy
Team Liquid,1498925.04,808,Starcraft II,Strategy
SK Telecom T1,1143991.9,94,Starcraft II,Strategy
Incredible Miracle,1111753.4,138,Starcraft II,Strategy
StarTale,1014565.47,152,Starcraft II,Strategy
ENCE eSports,874436.92,106,Starcraft II,Strategy
KT Rolster,869432.12,91,Starcraft II,Strategy
Evil Geniuses,785050.9,252,Starcraft II,Strategy
MVP,717672.07,331,Starcraft II,Strategy
Millenium,673626.51,344,Starcraft II,Strategy
Splyce,672400.74,181,Starcraft II,Strategy
Prime,635241.44,195,Starcraft II,Strategy
ROOT Gaming,627435.83,610,Starcraft II,Strategy
Invictus Gaming,618066.17,248,Starcraft II,Strategy
Team Acer,587934.65,466,Starcraft II,Strategy
mousesports,542901.82,422,Starcraft II,Strategy
Ting,491264.06,145,Starcraft II,Strategy
mYinsanity,459995.35,405,Starcraft II,Strategy
Old Generations,456814.74,77,Starcraft II,Strategy
Team expert,449141.08,234,Starcraft II,Strategy
Samsung,445432.31,266,Starcraft II,Strategy
CJ Entus,428406.59,81,Starcraft II,Strategy
PSISTORM Gaming,419733.17,488,Starcraft II,Strategy
Team SCV Life,401781.95,186,Starcraft II,Strategy
FXOpen e-Sports,396182.42,142,Starcraft II,Strategy
SlayerS,383967.89,96,Starcraft II,Strategy
Dragon Phoenix Gaming,356939.13,98,Starcraft II,Strategy
Woongjin Stars,342724.34,24,Starcraft II,Strategy
Afreeca Freecs,325994.36,220,Starcraft II,Strategy
Flash Wolves,281169.44,123,Starcraft II,Strategy
STX SouL,257868.69,25,Starcraft II,Strategy
CM Storm,253404.17,74,Starcraft II,Strategy
Chivo SC,239973.64,65,Starcraft II,Strategy
Fnatic,237224.37,145,Starcraft II,Strategy
Team QLASH,231495.97,100,Starcraft II,Strategy
EURONICS Gaming,229864.05,183,Starcraft II,Strategy
GamersOrigin,201116.29,38,Starcraft II,Strategy
Newbee,198251.54,55,Starcraft II,Strategy
Team Dignitas,192653.77,217,Starcraft II,Strategy
SK Gaming,184671.48,48,Starcraft II,Strategy
Axiom eSports,176342.72,109,Starcraft II,Strategy
Ballistix,175000,1,Starcraft II,Strategy
Team Reciprocity,166770.55,23,Starcraft II,Strategy
Team Empire,155746.38,277,Starcraft II,Strategy
Triumphant Song Gaming,155201.39,105,Starcraft II,Strategy
AZUBU,151662.65,38,Starcraft II,Strategy
KaiZi Gaming,151451.32,96,Starcraft II,Strategy
Quantic Gaming,137582.67,91,Starcraft II,Strategy
Dead Pixels,132577.26,254,Starcraft II,Strategy
Team Roccat,132070.52,66,Starcraft II,Strategy
The Gosu Crew,131096.69,22,Starcraft II,Strategy
Mkers,128727.5,58,Starcraft II,Strategy
compLexity Gaming,123940.64,124,Starcraft II,Strategy
Zenith of Origin,119710.33,80,Starcraft II,Strategy
True eSport,117357.81,190,Starcraft II,Strategy
ALTERNATE aTTaX,115633.24,156,Starcraft II,Strategy
Raise Your Edge Gaming,110702.49,83,Starcraft II,Strategy
Karont3 e-Sports Club,105866.02,38,Starcraft II,Strategy
New Star HoSeo,102207.62,49,Starcraft II,Strategy
Cascade,100985.11,174,Starcraft II,Strategy
Invasion eSport,99897.23,125,Starcraft II,Strategy
OSC Elite,99817.22,147,Starcraft II,Strategy
Brave Star Gaming,99294.24,99,Starcraft II,Strategy
Ocean Gaming,97841.4,51,Starcraft II,Strategy
ZeNEX,95798.79,46,Starcraft II,Strategy
Arma Team,92710.71,68,Starcraft II,Strategy
Team Envy,87486.76,25,Starcraft II,Strategy
Alliance,84650.09,20,Starcraft II,Strategy
Radical Online X-tremists,78734.83,120,Starcraft II,Strategy
mTw,75389,79,Starcraft II,Strategy
Gama Bears,68732.28,23,Starcraft II,Strategy
Wayi Spider,66428.61,37,Starcraft II,Strategy
Alien Invasion,65750.44,129,Starcraft II,Strategy
X-Team,65599.84,62,Starcraft II,Strategy
ESC Gaming,62239.12,198,Starcraft II,Strategy
AT Gaming,59654.91,59,Starcraft II,Strategy
TitanEX1,58132.79,64,Starcraft II,Strategy
Korean National Team,55891.44,5,Starcraft II,Strategy
AGO Esports,55366.6,33,Starcraft II,Strategy
NewRoSoft,53962.44,64,Starcraft II,Strategy
For Our Utopia,52647.06,18,Starcraft II,Strategy
XMG,52604.36,84,Starcraft II,Strategy
Planetkey Dynamics,51720.23,58,Starcraft II,Strategy
Team Property,50391.62,23,Starcraft II,Strategy
Legacy eSports,50235.16,37,Starcraft II,Strategy
Western Wolves,50152.29,31,Starcraft II,Strategy
Pixel 1,48592.1,39,Starcraft II,Strategy
Elevate,47660.38,50,Starcraft II,Strategy
J Team,47608.71,20,Starcraft II,Strategy
FlipSid3 Tactics,46303.49,81,Starcraft II,Strategy
TCM Gaming,41244.11,41,Starcraft II,Strategy
Team Revolution,41089.28,72,Starcraft II,Strategy
Asterion,37175.72,68,Starcraft II,Strategy
Hong Kong Attitude,36703.17,18,Starcraft II,Strategy
Team SPACECRAFT,36071.09,39,Starcraft II,Strategy
PanDarea,34319.75,7,Starcraft II,Strategy
SBENU,34211.12,28,Starcraft II,Strategy
World Elite,33964.24,20,Starcraft II,Strategy
O'Gaming,31870.64,44,Starcraft II,Strategy
Exile5,31490.59,58,Starcraft II,Strategy
SK Telecom T1,7139771.24,46,League of Legends,Multiplayer Online Battle Arena
Samsung,4252048.74,19,League of Legends,Multiplayer Online Battle Arena
Invictus Gaming,4176617.93,65,League of Legends,Multiplayer Online Battle Arena
Royal Never Give Up,3109363.51,26,League of Legends,Multiplayer Online Battle Arena
Fnatic,2883801.44,73,League of Legends,Multiplayer Online Battle Arena
EDward Gaming,2735906.7,41,League of Legends,Multiplayer Online Battle Arena
G2 Esports,2423913.52,53,League of Legends,Multiplayer Online Battle Arena
Cloud9,1845716.65,68,League of Legends,Multiplayer Online Battle Arena
World Elite,1783573.42,62,League of Legends,Multiplayer Online Battle Arena
Team SoloMid,1695975.02,77,League of Legends,Multiplayer Online Battle Arena
Taipei Assassins,1529565.39,24,League of Legends,Multiplayer Online Battle Arena
FunPlus Phoenix,1351265.67,10,League of Legends,Multiplayer Online Battle Arena
Flash Wolves,1302176.88,36,League of Legends,Multiplayer Online Battle Arena
KT Rolster,1142290.13,40,League of Legends,Multiplayer Online Battle Arena
Top Esports,1024395.86,9,League of Legends,Multiplayer Online Battle Arena
ROX Gaming,979041.98,12,League of Legends,Multiplayer Online Battle Arena
Counter Logic Gaming,951858.22,72,League of Legends,Multiplayer Online Battle Arena
Team Liquid,900463.5,24,League of Legends,Multiplayer Online Battle Arena
DAMWON Gaming,873905.84,11,League of Legends,Multiplayer Online Battle Arena
ahq e-Sports Club,840606.45,33,League of Legends,Multiplayer Online Battle Arena
JD Gaming,836118.08,10,League of Legends,Multiplayer Online Battle Arena
OMG,722072.89,28,League of Legends,Multiplayer Online Battle Arena
Star Horn Royal Club,707196.07,25,League of Legends,Multiplayer Online Battle Arena
DragonX,694398.74,14,League of Legends,Multiplayer Online Battle Arena
NaJin e-mFire,616799.21,35,League of Legends,Multiplayer Online Battle Arena
H2K,597032.96,20,League of Legends,Multiplayer Online Battle Arena
LGD Gaming,512324.15,22,League of Legends,Multiplayer Online Battle Arena
Afreeca Freecs,494452.56,14,League of Legends,Multiplayer Online Battle Arena
Gambit Esports,493101.79,30,League of Legends,Multiplayer Online Battle Arena
Suning,466293.44,2,League of Legends,Multiplayer Online Battle Arena
Misfits,433084.72,21,League of Legends,Multiplayer Online Battle Arena
SK Gaming,421665.24,85,League of Legends,Multiplayer Online Battle Arena
Origen,420582.91,15,League of Legends,Multiplayer Online Battle Arena
CJ Entus,419505.27,31,League of Legends,Multiplayer Online Battle Arena
AZUBU,399501.38,8,League of Legends,Multiplayer Online Battle Arena
Unicorns of Love,385930.36,47,League of Legends,Multiplayer Online Battle Arena
DetonatioN,375020.25,14,League of Legends,Multiplayer Online Battle Arena
Gen.G,370848.41,10,League of Legends,Multiplayer Online Battle Arena
Longzhu Gaming,347907.81,7,League of Legends,Multiplayer Online Battle Arena
Griffin,340668.2,12,League of Legends,Multiplayer Online Battle Arena
Marines Esports,340105.46,13,League of Legends,Multiplayer Online Battle Arena
Moscow Five,338435.21,33,League of Legends,Multiplayer Online Battle Arena
I May,335703.2,5,League of Legends,Multiplayer Online Battle Arena
Splyce,311433.5,11,League of Legends,Multiplayer Online Battle Arena
Snake Esports,306151.92,15,League of Legends,Multiplayer Online Battle Arena
Vici Gaming,304346.61,12,League of Legends,Multiplayer Online Battle Arena
Team LDLC.com,290534.04,41,League of Legends,Multiplayer Online Battle Arena
Vitality,289676.3,19,League of Legends,Multiplayer Online Battle Arena
MVP,278053.2,27,League of Legends,Multiplayer Online Battle Arena
mousesports,267924.75,59,League of Legends,Multiplayer Online Battle Arena
Team Dignitas,257562.2,46,League of Legends,Multiplayer Online Battle Arena
NASR eSports,252500,2,League of Legends,Multiplayer Online Battle Arena
Millenium,248283.32,59,League of Legends,Multiplayer Online Battle Arena
Albus NoX Luna,238702.5,3,League of Legends,Multiplayer Online Battle Arena
Illuminar Gaming,238301.36,33,League of Legends,Multiplayer Online Battle Arena
100 Thieves,237475,7,League of Legends,Multiplayer Online Battle Arena
eSuba,237472.51,40,League of Legends,Multiplayer Online Battle Arena
Jin Air Green Wings,218553.88,32,League of Legends,Multiplayer Online Battle Arena
FlyQuest,215250,7,League of Legends,Multiplayer Online Battle Arena
KaBuM! e-Sports,211740.9,28,League of Legends,Multiplayer Online Battle Arena
EURONICS Gaming,210216.22,48,League of Legends,Multiplayer Online Battle Arena
Schalke 04 Esports,207984.52,17,League of Legends,Multiplayer Online Battle Arena
paiN Gaming,207841.84,31,League of Legends,Multiplayer Online Battle Arena
Saigon Jokers,201934.86,25,League of Legends,Multiplayer Online Battle Arena
Team Curse,198907.95,62,League of Legends,Multiplayer Online Battle Arena
Kaos Latin Gamers,198769.35,14,League of Legends,Multiplayer Online Battle Arena
INTZ eSports,197810.93,24,League of Legends,Multiplayer Online Battle Arena
J Team,197654.1,15,League of Legends,Multiplayer Online Battle Arena
GamersOrigin,195460.56,32,League of Legends,Multiplayer Online Battle Arena
Young Miracles,193302,5,League of Legends,Multiplayer Online Battle Arena
BIG,192775.71,24,League of Legends,Multiplayer Online Battle Arena
Dark Passage,186871.49,23,League of Legends,Multiplayer Online Battle Arena
Hong Kong Attitude,184521.78,17,League of Legends,Multiplayer Online Battle Arena
Lyon Gaming,184012.05,16,League of Legends,Multiplayer Online Battle Arena
Rogue Warriors,179599.62,5,League of Legends,Multiplayer Online Battle Arena
MAD Lions,177719.21,9,League of Legends,Multiplayer Online Battle Arena
Qiao Gu Reapers,171577.28,7,League of Legends,Multiplayer Online Battle Arena
Positive Energy,154778.03,8,League of Legends,Multiplayer Online Battle Arena
Incredible Miracle,154615.32,26,League of Legends,Multiplayer Online Battle Arena
Team King,152173.93,9,League of Legends,Multiplayer Online Battle Arena
Immortals,151837,5,League of Legends,Multiplayer Online Battle Arena
Copenhagen Wolves,150220.76,29,League of Legends,Multiplayer Online Battle Arena
SinoDragon,146609.8,5,League of Legends,Multiplayer Online Battle Arena
Rogue,136453.23,10,League of Legends,Multiplayer Online Battle Arena
Radical Online X-tremists,134286.3,26,League of Legends,Multiplayer Online Battle Arena
